age_actual,proxy_age,proxy_age_status,prob_female,prob_male,prob_female_age,prob_male_age,proxy_gender,proxy_gender_status,proxy_gender_method,gender_threshold,bisgAian,bisgApi,bisgBlack,bisgHispanic,bisgMulti,bisgWhite,prob_minority,proxy_minority,proxy_race,proxy_race_method,race_threshold,proxy_race_status
51.0,<62,Unprotected,0.004230577409305158,0.9957694225906948,0.0037946525930126047,0.9962053474069874,Male,Unprotected,firstname_age,0.8,0.0037671564798510346,0.028804794355247434,0.004625393576409156,0.7522621923873788,0.006091110811931112,0.20444935238918263,0.7955506476108175,low,Hispanic,bisg,0.0,Protected
45.0,<62,Unprotected,0.33064004399509284,0.6693599560049072,0.2633587786259542,0.7366412213740458,Unknown,Unknown,firstname_age,0.8,0.01157810029462791,0.012679148181682644,0.004657223434435706,0.4613250747822463,0.033604225782184985,0.47615622752482223,0.5238437724751775,low,White,bisg,0.0,Unprotected
28.0,<62,Unprotected,0.9965122905511667,0.003487709448833168,0.9956790013692052,0.004320998630794673,Female,Protected,firstname_age,0.8,0.00626488816273752,0.00045235868626669856,0.0010956152945706208,0.0037879982748494304,0.009467571198885317,0.9789315683826907,0.021068431617309587,low,White,bisg,0.0,Unprotected
56.0,<62,Unprotected,0.003975827657169774,0.9960241723428302,0.0037149893559293725,0.9962850106440706,Male,Unprotected,firstname_age,0.8,0.007111270946836617,0.009294203277574343,0.0009331907637344382,0.7679925829875479,0.004810338088989651,0.20985841393531698,0.790141586064683,low,Hispanic,bisg,0.0,Protected
52.0,<62,Unprotected,0.7877899566658171,0.21221004333418306,1.0,0.0,Female,Protected,firstname_age,0.8,0.0009068292618652429,0.00024034341890724118,0.9137158488636641,0.006353028913889851,0.004554557070485041,0.07422939247118845,0.9257706075288115,high,Black,bisg,0.0,Protected
49.0,<62,Unprotected,0.004510609171800137,0.9954893908282,0.007123775601068565,0.9928762243989314,Male,Unprotected,firstname_age,0.8,0.002078415249629371,5.194523970442787e-05,0.009573293742303386,0.0028742462155958303,0.0039058306568136086,0.9815162688959533,0.018483731104046622,low,White,bisg,0.0,Unprotected
43.0,<62,Unprotected,0.9966939668448944,0.0033060331551055546,0.9965186704182364,0.0034813295817635558,Female,Protected,firstname_age,0.8,,,,,,,0.0,low,Unknown,bisg,0.0,Unknown
45.0,<62,Unprotected,0.0055142874283286465,0.9944857125716714,0.007074619158275239,0.9929253808417248,Male,Unprotected,firstname_age,0.8,0.0019749030741168534,0.0026195298860322647,0.0376753728730235,0.015003479521951173,0.007751225009118893,0.9349754896357575,0.06502451036424267,low,White,bisg,0.0,Unprotected
53.0,<62,Unprotected,0.9968528379378686,0.0031471620621313784,0.9968539325842696,0.003146067415730337,Female,Protected,firstname_age,0.8,0.0,0.002054346238948467,0.0,0.0031803448078547175,0.010744923298960653,0.9840203856542361,0.015979614345763837,low,White,bisg,0.0,Unprotected
32.0,<62,Unprotected,0.9969370028344152,0.003062997165584713,0.9966759002770084,0.0033240997229916896,Female,Protected,firstname_age,0.8,0.0067145871504496425,0.0002692044516785915,0.00015142799916195436,0.004481331579631449,0.011246462023927881,0.9771369867951504,0.02286301320484952,low,White,bisg,0.0,Unprotected
,Unknown,Unknown,,,,,Unknown,Unknown,,,,,,,,,,,Unknown,,,Unknown
40.0,<62,Unprotected,,,,,Unknown,Unknown,firstname_age,0.8,0.003908110857575032,0.017694778005507818,0.613506867526795,0.04454064886339974,0.08876141838655534,0.23158817636016693,0.7684118236398328,low,Black,bisg,0.0,Protected
,Unknown,Unknown,,,,,Unknown,Unknown,,,,,,,,,,,Unknown,,,Unknown
41.0,<62,Unprotected,0.4093817012151537,0.5906182987848463,0.3380374862183021,0.6619625137816979,Unknown,Unknown,firstname_age,0.8,0.0032155449279033313,0.0004534041202142034,0.002547772150366248,0.0034146537562450476,0.00523665208239731,0.9851319729628737,0.014868027037126141,low,White,bisg,0.0,Unprotected
55.0,<62,Unprotected,0.9971669285298956,0.0028330714701042922,0.9977356937011116,0.002264306298888432,Female,Protected,firstname_age,0.8,0.0013477346924806151,0.002545839620513677,0.8537739307842268,0.023055084330198233,0.0069738482335831254,0.11230356233899755,0.8876964376610025,high,Black,bisg,0.0,Protected
30.0,<62,Unprotected,0.008906909501811293,0.9910930904981888,0.015462064005753324,0.9845379359942468,Male,Unprotected,firstname_age,0.8,0.0006477031220302712,0.005301816852316486,0.005054744575181341,0.9787300370029792,0.0009974813792788086,0.009268217068213892,0.9907317829317861,high,Hispanic,bisg,0.0,Protected
43.0,<62,Unprotected,0.9981861730576936,0.0018138269423063507,1.0,0.0,Female,Protected,firstname_age,0.8,0.003164475002606823,0.005726945603872043,0.6291480205214729,0.03263088624909342,0.0097018485103473,0.31962782411260743,0.6803721758873924,low,Black,bisg,0.0,Protected
30.0,<62,Unprotected,,,,,Unknown,Unknown,firstname_age,0.8,,,,,,,0.0,low,Unknown,bisg,0.0,Unknown
,Unknown,Unknown,,,,,Unknown,Unknown,,,,,,,,,,,Unknown,,,Unknown
,Unknown,Unknown,,,,,Unknown,Unknown,,,,,,,,,,,Unknown,,,Unknown
62.0,62+,Protected,0.002276019035795572,0.9977239809642044,0.0,1.0,Male,Unprotected,firstname_age,0.8,0.004127350565307752,0.0002940376262253501,0.001465919454733044,0.003239562865080082,0.009398630526541482,0.9814744989621124,0.01852550103788771,low,White,bisg,0.0,Unprotected
,Unknown,Unknown,,,,,Unknown,Unknown,,,,,,,,,,,Unknown,,,Unknown
